payment_id,customer_id,amount,currency,payment_method,payment_status,failure_reason,attempt_number,previous_successes,previous_failures,customer_tenure_days,time_since_failure_minutes,historical_recovery_rate,recoverable_ground_truth,expected_recovery_action,simulated_recovery_outcome,simulated_recovered_amount,created_at
de768be7-2348-4fe1-9785-aa227382887b,6ad04306-55fc-4c8d-a4b9-2e6f8103f052,1965500,INR,UPI,failed,BANK_TIMEOUT,4,1,3,433,583,0.46,TRUE,RETRY,SUCCESS,1965500,2026-08-30T10:38:50.038054
44bba855-9072-4691-8d5c-9b4df378b2aa,a77bb881-6084-433e-9642-4dfd992ac7aa,889400,INR,NETBANKING,failed,NETWORK_ERROR,1,19,0,969,231,0.36,TRUE,RETRY,SUCCESS,889400,2026-08-30T16:30:50.038102
34c0df92-3a00-4b14-b0d7-074c214863eb,d5e4a2c8-9db9-41b2-af9a-00330a552cb2,1230200,INR,UPI,failed,NETWORK_ERROR,1,12,3,710,1382,0.71,TRUE,RETRY,FAILURE,0,2026-08-29T21:19:50.038134
a5752343-4ced-41b1-b2da-f736b9ace051,3f927bc6-80b2-4602-bbdc-fa2790588c7c,2667400,INR,CARD,failed,INSUFFICIENT_FUNDS,1,15,5,111,1371,0.18,FALSE,NO_ACTION,FAILURE,0,2026-08-29T21:30:50.038155
fea41709-e767-4a6f-8ac9-3395460ecd2a,6d2b0fa6-c3fb-462a-80a8-878117225b56,2130700,INR,NETBANKING,failed,BANK_TIMEOUT,1,11,3,984,915,0.7,TRUE,RETRY,SUCCESS,2130700,2026-08-30T05:06:50.038174
95fc9224-a786-4079-88df-ebd9b9aea945,674b3eb0-347e-4a47-ac1c-2b0e226397d0,3764400,INR,UPI,failed,CUSTOMER_ABANDONED,1,20,7,325,128,0.63,TRUE,PAYMENT_LINK,SUCCESS,3764400,2026-08-30T18:13:50.038223
f723cb9b-3fdc-4738-9f75-8516bd43da15,a0e9c5c7-44c4-48ac-9b70-1ba4698b2057,3303300,INR,NETBANKING,failed,INVALID_PAYMENT_STATE,2,17,5,458,1414,0.19,FALSE,NO_ACTION,FAILURE,0,2026-08-29T20:47:50.038254
29dd2b03-27ec-4ae6-af7c-5e0f707974b4,cbca7b16-055f-4286-80e5-70f47691c04b,2418700,INR,CARD,failed,BANK_TIMEOUT,1,17,2,410,314,0.46,TRUE,RETRY,SUCCESS,2418700,2026-08-30T15:07:50.038290
72dfee10-337b-4679-804d-2d381d498424,5399f3ad-82db-43e4-a0a4-8c96a8d4be95,3609400,INR,NETBANKING,failed,CUSTOMER_ABANDONED,2,20,10,680,448,0.71,TRUE,PAYMENT_LINK,SUCCESS,3609400,2026-08-30T12:53:50.038316
745ab273-6c75-40eb-9a6d-7d23c47b2615,23fe129b-18e6-4dc3-8b28-16a244e26d54,546500,INR,UPI,failed,INSUFFICIENT_FUNDS,1,14,0,317,1156,0.19,FALSE,NO_ACTION,FAILURE,0,2026-08-30T01:05:50.038336
6091d5d1-15ae-44a2-9925-f3f5e1eace65,afec40f4-1d18-481d-9ab9-df40fd4956e6,3322700,INR,UPI,failed,INSUFFICIENT_FUNDS,1,8,2,130,1066,0.45,FALSE,NO_ACTION,FAILURE,0,2026-08-30T02:35:50.038355
2347e241-1ed7-4835-9b66-78f60df2375e,d5e4a2c8-9db9-41b2-af9a-00330a552cb2,3831700,INR,UPI,failed,INVALID_PAYMENT_STATE,1,12,3,710,114,0.46,FALSE,NO_ACTION,FAILURE,0,2026-08-30T18:27:50.038372
55635160-bdf2-4ecc-8a62-d7c5295ebd39,a635ca62-1a3b-41f5-9632-1f572735441b,3705600,INR,UPI,failed,NETWORK_ERROR,2,9,1,168,45,0.42,TRUE,RETRY,SUCCESS,3705600,2026-08-30T19:36:50.038389
b858dbde-b35a-489e-8a2f-f91489ab123a,fe45d483-affe-4305-9e49-d88355c5b2bc,488600,INR,UPI,failed,NETWORK_ERROR,1,2,0,677,124,0.85,TRUE,RETRY,FAILURE,0,2026-08-30T18:17:50.038405
9fa1b1e9-e575-46bc-86d7-56038de8043c,3e706bf3-f209-4045-8830-2947756b9c10,1891400,INR,UPI,failed,CUSTOMER_ABANDONED,2,12,1,997,1323,0.87,FALSE,NO_ACTION,FAILURE,0,2026-08-29T22:18:50.038420
d0f841d3-954e-488c-9ac7-875f63e3ca7d,0cef5ba8-f24e-4cba-996d-de3c2efe26ba,2516600,INR,UPI,failed,OTHER,1,16,2,803,165,0.65,TRUE,PAYMENT_LINK,SUCCESS,2516600,2026-08-30T17:36:50.038437
98334c73-a6fe-4a0c-bb62-280e4e4a4d04,3030c58f-a8d6-4a1a-9e27-8519335a43fc,2289100,INR,UPI,failed,OTHER,1,15,0,449,261,0.68,TRUE,PAYMENT_LINK,SUCCESS,2289100,2026-08-30T16:00:50.038453
120dd86f-a917-4637-a3c7-3076d21c0197,1c27c696-8463-4017-8cef-a1c291cc7b3b,1965300,INR,UPI,failed,CUSTOMER_ABANDONED,1,6,2,160,777,0.76,FALSE,NO_ACTION,FAILURE,0,2026-08-30T07:24:50.038469
251c8d07-d1c6-4651-8d00-6d3ea841152b,a07f4271-5abf-4511-9e91-7395b8361dd0,1026600,INR,UPI,failed,OTHER,2,7,3,975,232,0.13,TRUE,PAYMENT_LINK,SUCCESS,1026600,2026-08-30T16:29:50.038485
a6514bf1-cbb6-4086-b5e9-456a5c41e182,33f9d070-31b8-4b37-88ba-812c42f0ba77,112500,INR,UPI,failed,BANK_TIMEOUT,1,13,5,682,915,0.58,TRUE,RETRY,SUCCESS,112500,2026-08-30T05:06:50.038503
68fe3ce7-d8cd-4264-b184-b848b62ecd98,56470734-f20d-4ef3-9f5b-3ca8bca8bf51,299900,INR,UPI,failed,BANK_TIMEOUT,1,13,0,384,116,0.21,TRUE,RETRY,SUCCESS,299900,2026-08-30T18:25:50.038522
b01c286e-a3d1-45c4-9be8-5dd7de7dd9c4,46ba47e2-47dc-4270-a76f-970ec07ff441,4804000,INR,UPI,failed,INSUFFICIENT_FUNDS,2,13,3,234,657,0.29,TRUE,REMINDER,FAILURE,0,2026-08-30T09:24:50.038540
e1ffbacd-7432-4452-ac26-ce425b4ece31,6db5af0d-ffd6-44dd-838b-918672206368,1458600,INR,UPI,failed,BANK_TIMEOUT,1,11,2,544,1212,0.8,TRUE,RETRY,SUCCESS,1458600,2026-08-30T00:09:50.038555
4b98c4d0-44dd-4452-a943-6575c2cf08e2,66982ecf-20f6-44a1-9469-269f083a6b63,3652800,INR,UPI,failed,OTHER,3,14,3,139,1375,0.4,FALSE,NO_ACTION,FAILURE,0,2026-08-29T21:26:50.038571
c2b97d11-d6d4-43f3-9763-90dfb137c9c8,9afa39dc-ab58-4a40-876a-1b9344ff9ad3,2738400,INR,UPI,failed,BANK_TIMEOUT,1,13,0,877,1102,0.48,TRUE,RETRY,SUCCESS,2738400,2026-08-30T01:59:50.038588
